# listGammaModel[1, 0.00816, 1.64, 0.00521, 0.0104167, "bulge_g1_a00816_b164_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  3.81469727e-6  3.27611154e+6  1.14319880e-9  2.16052832e+2  1.01826833e+2
  3.98358834e-6  3.13702046e+6  1.24661556e-9  2.16052829e+2  1.01826831e+2
  4.15995687e-6  3.00382640e+6  1.35938517e-9  2.16052825e+2  1.01826829e+2
  4.34413389e-6  2.87627935e+6  1.48235316e-9  2.16052821e+2  1.01826827e+2
  4.53646513e-6  2.75413990e+6  1.61644142e-9  2.16052817e+2  1.01826825e+2
  4.73731160e-6  2.63717877e+6  1.76265514e-9  2.16052812e+2  1.01826823e+2
  4.94705030e-6  2.52517644e+6  1.92209031e-9  2.16052807e+2  1.01826820e+2
  5.16607493e-6  2.41792265e+6  2.09594190e-9  2.16052801e+2  1.01826817e+2
  5.39479661e-6  2.31521610e+6  2.28551281e-9  2.16052795e+2  1.01826814e+2
  5.63364466e-6  2.21686399e+6  2.49222358e-9  2.16052788e+2  1.01826811e+2
  5.88306742e-6  2.12268171e+6  2.71762307e-9  2.16052781e+2  1.01826807e+2
  6.14353307e-6  2.03249247e+6  2.96339992e-9  2.16052773e+2  1.01826803e+2
  6.41553051e-6  1.94612699e+6  3.23139526e-9  2.16052764e+2  1.01826799e+2
  6.69957031e-6  1.86342314e+6  3.52361640e-9  2.16052754e+2  1.01826795e+2
  6.99618563e-6  1.78422570e+6  3.84225182e-9  2.16052744e+2  1.01826789e+2
  7.30593323e-6  1.70838599e+6  4.18968752e-9  2.16052733e+2  1.01826784e+2
  7.62939453e-6  1.63576168e+6  4.56852476e-9  2.16052720e+2  1.01826778e+2
  7.96717668e-6  1.56621642e+6  4.98159953e-9  2.16052707e+2  1.01826771e+2
  8.31991373e-6  1.49961969e+6  5.43200363e-9  2.16052692e+2  1.01826764e+2
  8.68826778e-6  1.43584648e+6  5.92310774e-9  2.16052676e+2  1.01826756e+2
  9.07293026e-6  1.37477707e+6  6.45858651e-9  2.16052658e+2  1.01826747e+2
  9.47462320e-6  1.31629685e+6  7.04244593e-9  2.16052639e+2  1.01826738e+2
  9.89410061e-6  1.26029603e+6  7.67905313e-9  2.16052618e+2  1.01826728e+2
  1.03321499e-5  1.20666951e+6  8.37316890e-9  2.16052595e+2  1.01826717e+2
  1.07895932e-5  1.15531662e+6  9.12998305e-9  2.16052570e+2  1.01826704e+2
  1.12672893e-5  1.10614096e+6  9.95515305e-9  2.16052543e+2  1.01826691e+2
  1.17661348e-5  1.05905024e+6  1.08548460e-8  2.16052514e+2  1.01826677e+2
  1.22870661e-5  1.01395606e+6  1.18357844e-8  2.16052482e+2  1.01826661e+2
  1.28310610e-5  9.70773778e+5  1.29052963e-8  2.16052446e+2  1.01826644e+2
  1.33991406e-5  9.29422334e+5  1.40713692e-8  2.16052408e+2  1.01826625e+2
  1.39923713e-5  8.89824110e+5  1.53427096e-8  2.16052366e+2  1.01826605e+2
  1.46118665e-5  8.51904778e+5  1.67288077e-8  2.16052321e+2  1.01826582e+2
  1.52587891e-5  8.15593162e+5  1.82400071e-8  2.16052271e+2  1.01826558e+2
  1.59343534e-5  7.80821102e+5  1.98875818e-8  2.16052217e+2  1.01826531e+2
  1.66398275e-5  7.47523328e+5  2.16838195e-8  2.16052158e+2  1.01826503e+2
  1.73765356e-5  7.15637339e+5  2.36421124e-8  2.16052093e+2  1.01826471e+2
  1.81458605e-5  6.85103282e+5  2.57770560e-8  2.16052023e+2  1.01826437e+2
  1.89492464e-5  6.55863844e+5  2.81045569e-8  2.16051948e+2  1.01826399e+2
  1.97882012e-5  6.27864140e+5  3.06419501e-8  2.16051864e+2  1.01826358e+2
  2.06642997e-5  6.01051612e+5  3.34081268e-8  2.16051773e+2  1.01826314e+2
  2.15791864e-5  5.75375932e+5  3.64236732e-8  2.16051674e+2  1.01826265e+2
  2.25345786e-5  5.50788905e+5  3.97110223e-8  2.16051565e+2  1.01826212e+2
  2.35322697e-5  5.27244379e+5  4.32946185e-8  2.16051447e+2  1.01826154e+2
  2.45741323e-5  5.04698160e+5  4.72010970e-8  2.16051318e+2  1.01826091e+2
  2.56621220e-5  4.83107927e+5  5.14594791e-8  2.16051177e+2  1.01826022e+2
  2.67982813e-5  4.62433154e+5  5.61013852e-8  2.16051024e+2  1.01825947e+2
  2.79847425e-5  4.42635032e+5  6.11612657e-8  2.16050857e+2  1.01825865e+2
  2.92237329e-5  4.23676400e+5  6.66766529e-8  2.16050675e+2  1.01825776e+2
  3.05175781e-5  4.05521671e+5  7.26884351e-8  2.16050476e+2  1.01825679e+2
  3.18687067e-5  3.88136767e+5  7.92411548e-8  2.16050259e+2  1.01825573e+2
  3.32796549e-5  3.71489055e+5  8.63833325e-8  2.16050050e+2  1.01825457e+2
  3.47530711e-5  3.55547287e+5  9.41678202e-8  2.16049792e+2  1.01825331e+2
  3.62917210e-5  3.40281538e+5  1.02652184e-7  2.16049511e+2  1.01825193e+2
  3.78984928e-5  3.25663154e+5  1.11899124e-7  2.16049204e+2  1.01825043e+2
  3.95764024e-5  3.11664695e+5  1.21976924e-7  2.16048870e+2  1.01824880e+2
  4.13285995e-5  2.98259885e+5  1.32959947e-7  2.16048505e+2  1.01824701e+2
  4.31583729e-5  2.85423562e+5  1.44929174e-7  2.16048108e+2  1.01824507e+2
  4.50691573e-5  2.73131631e+5  1.57972782e-7  2.16047674e+2  1.01824295e+2
  4.70645393e-5  2.61361019e+5  1.72186782e-7  2.16047201e+2  1.01824063e+2
  4.91482645e-5  2.50089632e+5  1.87675706e-7  2.16046685e+2  1.01823811e+2
  5.13242441e-5  2.39296312e+5  2.04553353e-7  2.16046123e+2  1.01823536e+2
  5.35965625e-5  2.28960800e+5  2.22943606e-7  2.16045510e+2  1.01823236e+2
  5.59694851e-5  2.19063695e+5  2.42981310e-7  2.16044841e+2  1.01822909e+2
  5.84474659e-5  2.09586419e+5  2.64813236e-7  2.16044112e+2  1.01822552e+2
  6.10351563e-5  2.00511181e+5  2.88599114e-7  2.16043317e+2  1.01822163e+2
  6.37374135e-5  1.91820948e+5  3.14512770e-7  2.16042449e+2  1.01821738e+2
  6.65593099e-5  1.83499406e+5  3.42743350e-7  2.16041504e+2  1.01821276e+2
  6.95061423e-5  1.75530935e+5  3.73496645e-7  2.16040472e+2  1.01820771e+2
