# listGammaModel[1, 0.02, 4., 0.03125, 0.00375, "bulge_g1_a02_b4_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  3.81469727e-6  3.27387617e+6  1.14210275e-9  2.15452700e+3  1.98993254e+3
  3.98358834e-6  3.13499516e+6  1.24545085e-9  2.15452686e+3  1.98993241e+3
  4.15995687e-6  3.00200224e+6  1.35814984e-9  2.15452670e+3  1.98993226e+3
  4.34413389e-6  2.87464780e+6  1.48104563e-9  2.15452653e+3  1.98993209e+3
  4.53646513e-6  2.75269276e+6  1.61506065e-9  2.15452634e+3  1.98993192e+3
  4.73731160e-6  2.63590822e+6  1.76120077e-9  2.15452614e+3  1.98993172e+3
  4.94705030e-6  2.52407497e+6  1.92056278e-9  2.15452591e+3  1.98993151e+3
  5.16607493e-6  2.41698309e+6  2.09434271e-9  2.15452567e+3  1.98993128e+3
  5.39479661e-6  2.31443155e+6  2.28384469e-9  2.15452540e+3  1.98993103e+3
  5.63364466e-6  2.21622786e+6  2.49049083e-9  2.15452511e+3  1.98993075e+3
  5.88306742e-6  2.12218769e+6  2.71583178e-9  2.15452480e+3  1.98993045e+3
  6.14353307e-6  2.03213453e+6  2.96155845e-9  2.15452445e+3  1.98993013e+3
  6.41553051e-6  1.94589932e+6  3.22951457e-9  2.15452408e+3  1.98992977e+3
  6.69957031e-6  1.86332021e+6  3.52171061e-9  2.15452367e+3  1.98992938e+3
  6.99618563e-6  1.78424219e+6  3.84033878e-9  2.15452322e+3  1.98992896e+3
  7.30593323e-6  1.70851682e+6  4.18778947e-9  2.15452273e+3  1.98992850e+3
  7.62939453e-6  1.63600196e+6  4.56666913e-9  2.15452220e+3  1.98992799e+3
  7.96717668e-6  1.56656150e+6  4.97981986e-9  2.15452162e+3  1.98992744e+3
  8.31991373e-6  1.50006509e+6  5.43034059e-9  2.15452099e+3  1.98992684e+3
  8.68826778e-6  1.43638792e+6  5.92161037e-9  2.15452030e+3  1.98992619e+3
  9.07293026e-6  1.37541046e+6  6.45731361e-9  2.15451955e+3  1.98992548e+3
  9.47462320e-6  1.31701824e+6  7.04146770e-9  2.15451873e+3  1.98992470e+3
  9.89410061e-6  1.26110168e+6  7.67845303e-9  2.15451783e+3  1.98992385e+3
  1.03321499e-5  1.20755579e+6  8.37304580e-9  2.15451686e+3  1.98992293e+3
  1.07895932e-5  1.15628009e+6  9.13045374e-9  2.15451579e+3  1.98992192e+3
  1.12672893e-5  1.10717831e+6  9.95635504e-9  2.15451463e+3  1.98992083e+3
  1.17661348e-5  1.06015830e+6  1.08569409e-8  2.15451337e+3  1.98991963e+3
  1.22870661e-5  1.01513179e+6  1.18389616e-8  2.15451199e+3  1.98991832e+3
  1.28310610e-5  9.72014262e+5  1.29097773e-8  2.15451048e+3  1.98991690e+3
  1.33991406e-5  9.30724786e+5  1.40774128e-8  2.15450884e+3  1.98991534e+3
  1.39923713e-5  8.91185857e+5  1.53506174e-8  2.15450706e+3  1.98991365e+3
  1.46118665e-5  8.53323259e+5  1.67389307e-8  2.15450511e+3  1.98991180e+3
  1.52587891e-5  8.17065921e+5  1.82527534e-8  2.15450298e+3  1.98990979e+3
  1.59343534e-5  7.82345786e+5  1.99034252e-8  2.15450066e+3  1.98990759e+3
  1.66398275e-5  7.49097681e+5  2.17033091e-8  2.15449813e+3  1.98990519e+3
  1.73765356e-5  7.17259198e+5  2.36658844e-8  2.15449537e+3  1.98990258e+3
  1.81458605e-5  6.86770575e+5  2.58058463e-8  2.15449236e+3  1.98989973e+3
  1.89492464e-5  6.57574581e+5  2.81392163e-8  2.15448908e+3  1.98989662e+3
  1.97882012e-5  6.29616415e+5  3.06834611e-8  2.15448551e+3  1.98989323e+3
  2.06642997e-5  6.02843597e+5  3.34576232e-8  2.15448161e+3  1.98988954e+3
  2.15791864e-5  5.77205872e+5  3.64824625e-8  2.15447735e+3  1.98988551e+3
  2.25345786e-5  5.52655118e+5  3.97806108e-8  2.15447271e+3  1.98988112e+3
  2.35322697e-5  5.29145251e+5  4.33767408e-8  2.15446766e+3  1.98987632e+3
  2.45741323e-5  5.06632141e+5  4.72977492e-8  2.15446214e+3  1.98987110e+3
  2.56621220e-5  4.85073530e+5  5.15729569e-8  2.15445612e+3  1.98986540e+3
  2.67982813e-5  4.64428951e+5  5.62343271e-8  2.15444956e+3  1.98985919e+3
  2.79847425e-5  4.44659653e+5  6.13167031e-8  2.15444241e+3  1.98985241e+3
  2.92237329e-5  4.25728527e+5  6.68580666e-8  2.15443461e+3  1.98984502e+3
  3.05175781e-5  4.07600039e+5  7.28998199e-8  2.15442610e+3  1.98983696e+3
  3.18687067e-5  3.90240160e+5  7.94870936e-8  2.15441682e+3  1.98982817e+3
  3.32796549e-5  3.73616304e+5  8.66690807e-8  2.15440671e+3  1.98981859e+3
  3.47530711e-5  3.57697269e+5  9.44994016e-8  2.15439568e+3  1.98980814e+3
  3.62917210e-5  3.42453172e+5  1.03036501e-7  2.15438364e+3  1.98979674e+3
  3.78984928e-5  3.27855399e+5  1.12344082e-7  2.15437059e+3  1.98978431e+3
  3.95764024e-5  3.13876550e+5  1.22491576e-7  2.15435629e+3  1.98977076e+3
  4.13285995e-5  3.00490386e+5  1.33554654e-7  2.15434069e+3  1.98975598e+3
  4.31583729e-5  2.87671779e+5  1.45615792e-7  2.15432362e+3  1.98973987e+3
  4.50691573e-5  2.75396668e+5  1.58764875e-7  2.15430507e+3  1.98972229e+3
  4.70645393e-5  2.63642012e+5  1.73099860e-7  2.15428484e+3  1.98970313e+3
  4.91482645e-5  2.52385747e+5  1.88727500e-7  2.15426278e+3  1.98968223e+3
  5.13242441e-5  2.41606745e+5  2.05764132e-7  2.15423872e+3  1.98965944e+3
  5.35965625e-5  2.31284771e+5  2.24336528e-7  2.15421248e+3  1.98963459e+3
  5.59694851e-5  2.21400452e+5  2.44582833e-7  2.15418388e+3  1.98960749e+3
  5.84474659e-5  2.11935234e+5  2.66653574e-7  2.15415268e+3  1.98957794e+3
  6.10351563e-5  2.02871349e+5  2.90712772e-7  2.15411866e+3  1.98954572e+3
  6.37374135e-5  1.94191785e+5  3.16939135e-7  2.15408156e+3  1.98951058e+3
  6.65593099e-5  1.85880249e+5  3.45527376e-7  2.15404111e+3  1.98947226e+3
  6.95061423e-5  1.77921140e+5  3.76689632e-7  2.15399700e+3  1.98943047e+3
  7.25834421e-5  1.70299519e+5  4.10657013e-7  2.15394890e+3  1.98938491e+3
  7.57969856e-5  1.63001078e+5  4.47681292e-7  2.15389645e+3  1.98933522e+3
  7.91528048e-5  1.56012118e+5  4.88036739e-7  2.15383925e+3  1.98928104e+3
  8.26571989e-5  1.49319520e+5  5.32022115e-7  2.15377688e+3  1.98922196e+3
  8.63167458e-5  1.42910723e+5  5.79962845e-7  2.15370887e+3  1.98915754e+3
  9.01383146e-5  1.36773696e+5  6.32213378e-7  2.15363471e+3  1.98908729e+3
  9.41290787e-5  1.30896919e+5  6.89159756e-7  2.15355384e+3  1.98901068e+3
  9.82965290e-5  1.25269362e+5  7.51222409e-7  2.15346566e+3  1.98892716e+3
  1.02648488e-4  1.19880460e+5  8.18859187e-7  2.15336951e+3  1.98883608e+3
  1.07193125e-4  1.14720100e+5  8.92568661e-7  2.15326467e+3  1.98873677e+3
  1.11938970e-4  1.09778593e+5  9.72893713e-7  2.15315035e+3  1.98862848e+3
  1.16894932e-4  1.05046665e+5  1.06042544e-6  2.15302565e+3  1.98851041e+3
  1.22070313e-4  1.00515434e+5  1.15580736e-6  2.15287588e+3  1.98838167e+3
  1.27474827e-4  9.61763936e+4  1.25974008e-6  2.15272765e+3  1.98824129e+3
  1.33118620e-4  9.20213993e+4  1.37298621e-6  2.15258002e+3  1.98808824e+3
  1.39012285e-4  8.80426517e+4  1.49637587e-6  2.15240385e+3  1.98792136e+3
  1.45166884e-4  8.42326826e+4  1.63081253e-6  2.15221177e+3  1.98773941e+3
  1.51593971e-4  8.05843400e+4  1.77727945e-6  2.15200234e+3  1.98754104e+3
  1.58305610e-4  7.70907757e+4  1.93684661e-6  2.15177393e+3  1.98732476e+3
  1.65314398e-4  7.37454319e+4  2.11067824e-6  2.15152359e+3  1.98708897e+3
  1.72633492e-4  7.05420290e+4  2.30004101e-6  2.15125361e+3  1.98683190e+3
  1.80276629e-4  6.74745538e+4  2.50631294e-6  2.15095774e+3  1.98655165e+3
  1.88258157e-4  6.45372481e+4  2.73099293e-6  2.15063528e+3  1.98624613e+3
