# listNFWModel[0.0884, 0.34654, 1, 0.00375, "halo_c039_a0884_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  1.52587891e-5  5.79138292e+3  1.29292201e-10  2.17759980e+1  2.16935666e+1
  1.59343534e-5  5.54576253e+3  1.40992710e-10  2.17759804e+1  2.16935491e+1
  1.66398275e-5  5.31055565e+3  1.53752002e-10  2.17759612e+1  2.16935299e+1
  1.73765356e-5  5.08532077e+3  1.67665886e-10  2.17759402e+1  2.16935090e+1
  1.81458605e-5  4.86963511e+3  1.82838822e-10  2.17759174e+1  2.16934862e+1
  1.89492464e-5  4.66309382e+3  1.99384734e-10  2.17758925e+1  2.16934613e+1
  1.97882012e-5  4.46530920e+3  2.17427844e-10  2.17758654e+1  2.16934342e+1
  2.06642997e-5  4.27591000e+3  2.37103613e-10  2.17758357e+1  2.16934047e+1
  2.15791864e-5  4.09454071e+3  2.58559757e-10  2.17758035e+1  2.16933724e+1
  2.25345786e-5  3.92086089e+3  2.81957352e-10  2.17757682e+1  2.16933373e+1
  2.35322697e-5  3.75454452e+3  3.07472046e-10  2.17757297e+1  2.16932990e+1
  2.45741323e-5  3.59527943e+3  3.35295377e-10  2.17756878e+1  2.16932572e+1
  2.56621220e-5  3.44276666e+3  3.65636202e-10  2.17756421e+1  2.16932116e+1
  2.67982813e-5  3.29671993e+3  3.98722275e-10  2.17755923e+1  2.16931619e+1
  2.79847425e-5  3.15686510e+3  4.34801945e-10  2.17755380e+1  2.16931076e+1
  2.92237329e-5  3.02293967e+3  4.74146025e-10  2.17754788e+1  2.16930485e+1
  3.05175781e-5  2.89469224e+3  5.17049821e-10  2.17754142e+1  2.16929841e+1
  3.18687067e-5  2.77188208e+3  5.63835339e-10  2.17753438e+1  2.16929138e+1
  3.32796549e-5  2.65427867e+3  6.14853718e-10  2.17752670e+1  2.16928371e+1
  3.47530711e-5  2.54166127e+3  6.70487838e-10  2.17751833e+1  2.16927535e+1
  3.62917210e-5  2.43381848e+3  7.31155210e-10  2.17750919e+1  2.16926623e+1
  3.78984928e-5  2.33054787e+3  7.97311096e-10  2.17749924e+1  2.16925629e+1
  3.95764024e-5  2.23165561e+3  8.69451919e-10  2.17748837e+1  2.16924545e+1
  4.13285995e-5  2.13695605e+3  9.48118994e-10  2.17747653e+1  2.16923363e+1
  4.31583729e-5  2.04627145e+3  1.03390257e-9  2.17746362e+1  2.16922073e+1
  4.50691573e-5  1.95943159e+3  1.12744627e-9  2.17744953e+1  2.16920668e+1
