# listNFWModel[0.0121, 0.4, 1/(2*Pi), 0.00375, "halo_c039_a1021_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  1.52587891e-5  1.25889869e+2  2.81252055e-12  3.26340648e-1  2.99282378e-1
  1.59343534e-5  1.20539109e+2  3.06684736e-12  3.26340295e-1  2.99282047e-1
  1.66398275e-5  1.15415205e+2  3.34416111e-12  3.26339911e-1  2.99281687e-1
  1.73765356e-5  1.10508540e+2  3.64653789e-12  3.26339491e-1  2.99281294e-1
  1.81458605e-5  1.05809905e+2  3.97624112e-12  3.26339034e-1  2.99280866e-1
  1.89492464e-5  1.01310478e+2  4.33573838e-12  3.26338535e-1  2.99280399e-1
  1.97882012e-5  9.70018158e+1  4.72771979e-12  3.26337991e-1  2.99279889e-1
  2.06642997e-5  9.28758292e+1  5.15511805e-12  3.26337398e-1  2.99279334e-1
  2.15791864e-5  8.89247739e+1  5.62113028e-12  3.26336752e-1  2.99278728e-1
  2.25345786e-5  8.51412334e+1  6.12924181e-12  3.26336046e-1  2.99278067e-1
  2.35322697e-5  8.15181059e+1  6.68325209e-12  3.26335277e-1  2.99277347e-1
  2.45741323e-5  7.80485906e+1  7.28730293e-12  3.26334439e-1  2.99276561e-1
  2.56621220e-5  7.47261748e+1  7.94590932e-12  3.26333524e-1  2.99275704e-1
  2.67982813e-5  7.15446222e+1  8.66399294e-12  3.26332527e-1  2.99274770e-1
  2.79847425e-5  6.84979609e+1  9.44691869e-12  3.26331439e-1  2.99273751e-1
  2.92237329e-5  6.55804720e+1  1.03005345e-11  3.26330253e-1  2.99272640e-1
  3.05175781e-5  6.27866793e+1  1.12312148e-11  3.26328960e-1  2.99271428e-1
  3.18687067e-5  6.01113386e+1  1.22459075e-11  3.26327549e-1  2.99270107e-1
  3.32796549e-5  5.75494282e+1  1.33521858e-11  3.26326011e-1  2.99268666e-1
  3.47530711e-5  5.50961391e+1  1.45583041e-11  3.26324334e-1  2.99267095e-1
  3.62917210e-5  5.27468665e+1  1.58732589e-11  3.26322505e-1  2.99265382e-1
  3.78984928e-5  5.04972004e+1  1.73068556e-11  3.26320510e-1  2.99263513e-1
  3.95764024e-5  4.83429183e+1  1.88697809e-11  3.26318337e-1  2.99261476e-1
  4.13285995e-5  4.62799763e+1  2.05736813e-11  3.26315965e-1  2.99259254e-1
  4.31583729e-5  4.43045022e+1  2.24312498e-11  3.26313378e-1  2.99256831e-1
  4.50691573e-5  4.24127879e+1  2.44563186e-11  3.26310558e-1  2.99254188e-1
  4.70645393e-5  4.06012825e+1  2.66639615e-11  3.26307482e-1  2.99251307e-1
  4.91482645e-5  3.88665857e+1  2.90706047e-11  3.26304130e-1  2.99248165e-1
  5.13242441e-5  3.72054414e+1  3.16941476e-11  3.26300473e-1  2.99244739e-1
  5.35965625e-5  3.56147315e+1  3.45540941e-11  3.26296478e-1  2.99241002e-1
  5.59694851e-5  3.40914701e+1  3.76716958e-11  3.26292129e-1  2.99236928e-1
  5.84474659e-5  3.26327979e+1  4.10701081e-11  3.26287386e-1  2.99232485e-1
  6.10351563e-5  3.12359770e+1  4.47745589e-11  3.26282214e-1  2.99227640e-1
  6.37374135e-5  2.98983853e+1  4.88125340e-11  3.26276575e-1  2.99222357e-1
  6.65593099e-5  2.86175122e+1  5.32139775e-11  3.26270430e-1  2.99216596e-1
  6.95061423e-5  2.73909534e+1  5.80115100e-11  3.26263723e-1  2.99210313e-1
  7.25834421e-5  2.62164065e+1  6.32406667e-11  3.26256412e-1  2.99203463e-1
  7.57969856e-5  2.50916668e+1  6.89401558e-11  3.26248438e-1  2.99195992e-1
  7.91528048e-5  2.40146231e+1  7.51521398e-11  3.26239742e-1  2.99187846e-1
  8.26571989e-5  2.29832537e+1  8.19225410e-11  3.26230260e-1  2.99178964e-1
  8.63167458e-5  2.19956226e+1  8.93013750e-11  3.26219920e-1  2.99169278e-1
  9.01383146e-5  2.10498760e+1  9.73431114e-11  3.26208645e-1  2.99158716e-1
