# listNFWModel[0.25, 0.98015, 4.218905, 0.00375, "halo_c039_a25_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  1.52587891e-5  6.91141025e+4  1.54285254e-9  2.73161737e+2  2.73006320e+2
  1.59343534e-5  6.61835336e+4  1.68248654e-9  2.73161526e+2  2.73006110e+2
  1.66398275e-5  6.33772112e+4  1.83475766e-9  2.73161296e+2  2.73005880e+2
  1.73765356e-5  6.06898678e+4  2.00080969e-9  2.73161046e+2  2.73005629e+2
  1.81458605e-5  5.81164588e+4  2.18188942e-9  2.73160772e+2  2.73005356e+2
  1.89492464e-5  5.56521540e+4  2.37935710e-9  2.73160475e+2  2.73005059e+2
  1.97882012e-5  5.32923276e+4  2.59469573e-9  2.73160148e+2  2.73004734e+2
  2.06642997e-5  5.10325501e+4  2.82952241e-9  2.73159794e+2  2.73004380e+2
  2.15791864e-5  4.88685797e+4  3.08560109e-9  2.73159407e+2  2.73003993e+2
  2.25345786e-5  4.67963546e+4  3.36485468e-9  2.73158986e+2  2.73003572e+2
  2.35322697e-5  4.48119851e+4  3.66938062e-9  2.73158527e+2  2.73003113e+2
  2.45741323e-5  4.29117463e+4  4.00146566e-9  2.73158026e+2  2.73002612e+2
  2.56621220e-5  4.10920714e+4  4.36360382e-9  2.73157479e+2  2.73002066e+2
  2.67982813e-5  3.93495448e+4  4.75851488e-9  2.73156884e+2  2.73001470e+2
  2.79847425e-5  3.76808955e+4  5.18916458e-9  2.73156234e+2  2.73000821e+2
  2.92237329e-5  3.60829916e+4  5.65878658e-9  2.73155526e+2  2.73000112e+2
  3.05175781e-5  3.45528335e+4  6.17090799e-9  2.73154753e+2  2.72999340e+2
  3.18687067e-5  3.30875491e+4  6.72937435e-9  2.73153910e+2  2.72998498e+2
  3.32796549e-5  3.16843880e+4  7.33837969e-9  2.73152992e+2  2.72997579e+2
  3.47530711e-5  3.03407163e+4  8.00249681e-9  2.73151990e+2  2.72996577e+2
  3.62917210e-5  2.90540119e+4  8.72671311e-9  2.73150898e+2  2.72995485e+2
  3.78984928e-5  2.78218595e+4  9.51646660e-9  2.73149706e+2  2.72994294e+2
  3.95764024e-5  2.66419464e+4  1.03776874e-8  2.73148407e+2  2.72992995e+2
  4.13285995e-5  2.55120577e+4  1.13168428e-8  2.73146990e+2  2.72991578e+2
  4.31583729e-5  2.44300726e+4  1.23409841e-8  2.73145445e+2  2.72990034e+2
  4.50691573e-5  2.33939601e+4  1.34578014e-8  2.73143760e+2  2.72988349e+2
  4.70645393e-5  2.24017754e+4  1.46756804e-8  2.73141923e+2  2.72986512e+2
  4.91482645e-5  2.14516561e+4  1.60037652e-8  2.73139919e+2  2.72984509e+2
  5.13242441e-5  2.05418187e+4  1.74520272e-8  2.73137735e+2  2.72982325e+2
  5.35965625e-5  1.96705555e+4  1.90313400e-8  2.73135352e+2  2.72979943e+2
  5.59694851e-5  1.88362310e+4  2.07535607e-8  2.73132754e+2  2.72977346e+2
  5.84474659e-5  1.80372791e+4  2.26316195e-8  2.73129921e+2  2.72974513e+2
  6.10351563e-5  1.72722002e+4  2.46796155e-8  2.73126831e+2  2.72971424e+2
  6.37374135e-5  1.65395581e+4  2.69129238e-8  2.73123463e+2  2.72968056e+2
  6.65593099e-5  1.58379776e+4  2.93483098e-8  2.73119789e+2  2.72964383e+2
  6.95061423e-5  1.51661419e+4  3.20040559e-8  2.73115783e+2  2.72960378e+2
  7.25834421e-5  1.45227898e+4  3.49000977e-8  2.73111414e+2  2.72956010e+2
  7.57969856e-5  1.39067137e+4  3.80581744e-8  2.73106651e+2  2.72951248e+2
  7.91528048e-5  1.33167573e+4  4.15019910e-8  2.73101456e+2  2.72946055e+2
  8.26571989e-5  1.27518131e+4  4.52573964e-8  2.73095792e+2  2.72940392e+2
  8.63167458e-5  1.22108207e+4  4.93525779e-8  2.73089615e+2  2.72934216e+2
  9.01383146e-5  1.16927646e+4  5.38182711e-8  2.73082880e+2  2.72927483e+2
  9.41290787e-5  1.11966724e+4  5.86879921e-8  2.73075536e+2  2.72920140e+2
  9.82965290e-5  1.07216129e+4  6.39982873e-8  2.73067528e+2  2.72912134e+2
  1.02648488e-4  1.02666944e+4  6.97890079e-8  2.73058796e+2  2.72903404e+2
  1.07193125e-4  9.83106292e+3  7.61036088e-8  2.73049304e+2  2.72893884e+2
  1.11938970e-4  9.41390083e+3  8.29894741e-8  2.73039038e+2  2.72883504e+2
  1.16894932e-4  9.01442508e+3  9.04982723e-8  2.73027601e+2  2.72872186e+2
  1.22070313e-4  8.63188581e+3  9.86863429e-8  2.73015257e+2  2.72859845e+2
  1.27474827e-4  8.26556497e+3  1.07615120e-7  2.73001768e+2  2.72846389e+2
  1.33118620e-4  7.91477495e+3  1.17351589e-7  2.72987095e+2  2.72831717e+2
  1.39012285e-4  7.57885731e+3  1.27968795e-7  2.72971094e+2  2.72815720e+2
  1.45166884e-4  7.25718150e+3  1.39546382e-7  2.72953648e+2  2.72798278e+2
  1.51593971e-4  6.94914371e+3  1.52171196e-7  2.72934627e+2  2.72779262e+2
  1.58305610e-4  6.65416574e+3  1.65937929e-7  2.72913889e+2  2.72758528e+2
  1.65314398e-4  6.37169390e+3  1.80949835e-7  2.72891279e+2  2.72735923e+2
  1.72633492e-4  6.10119798e+3  1.97319496e-7  2.72866629e+2  2.72711279e+2
  1.80276629e-4  5.84217022e+3  2.15169671e-7  2.72839756e+2  2.72684411e+2
  1.88258157e-4  5.59412442e+3  2.34634208e-7  2.72810459e+2  2.72655121e+2
  1.96593058e-4  5.35659499e+3  2.55859053e-7  2.72778520e+2  2.72623190e+2
  2.05296976e-4  5.12913606e+3  2.79003333e-7  2.72743704e+2  2.72588381e+2
  2.14386250e-4  4.91132068e+3  3.04240555e-7  2.72705751e+2  2.72550437e+2
  2.23877940e-4  4.70274000e+3  3.31759896e-7  2.72664374e+2  2.72509076e+2
  2.33789863e-4  4.50300250e+3  3.61767624e-7  2.72619278e+2  2.72463992e+2
  2.44140625e-4  4.31173325e+3  3.94488632e-7  2.72570128e+2  2.72414853e+2
